jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;9954;51.0;372.0;255.4;79.1;2542602.0;204.0;250.0;325.0;68.67;31.33;0;0.0
1;Tues;9737;31.0;371.0;245.6;83.2;2391013.0;199.0;249.0;321.0;66.01;33.989999999999995;0;0.0
2;Wed;10258;63.0;368.0;248.0;74.6;2544427.0;206.0;247.0;316.0;66.68;33.31999999999999;0;0.0
3;Thur;10511;38.0;368.0;244.4;80.7;2569303.0;197.0;247.0;315.0;65.71;34.290000000000006;0;0.0
4;Fri;10934;53.0;369.0;252.0;74.2;2754980.0;208.25;257.0;318.0;67.73;32.269999999999996;0;0.0
5;Sat;10626;2.0;370.0;272.9;65.1;2900160.0;227.25;294.0;325.0;73.37;26.629999999999995;0;0.0
6;Sun;10256;147.0;372.0;294.0;55.2;3014932.0;242.0;314.0;335.0;79.02;20.980000000000004;0;0.0
