jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;8069;2.0;310.0;259.0;45.2;2089715.0;240.0;269.0;292.0;83.54;16.459999999999994;0;0.0
1;Tues;8002;19.0;310.0;239.3;53.1;1914663.0;208.0;248.0;281.0;77.18;22.819999999999993;0;0.0
2;Wed;8358;0.0;310.0;239.9;55.4;2005113.0;216.0;248.0;279.0;77.39;22.61;2;0.023929169657812874
3;Thur;8940;5.0;310.0;225.9;60.5;2019462.0;193.0;232.0;273.0;72.87;27.129999999999995;0;0.0
4;Fri;9968;0.0;310.0;216.1;74.0;2154129.0;180.0;228.0;274.0;69.71;30.290000000000006;23;0.2307383627608347
5;Sat;10100;0.0;310.0;203.1;84.5;2051770.0;145.0;224.0;276.0;65.53;34.47;66;0.6534653465346535
6;Sun;8910;0.0;310.0;249.6;66.6;2224166.0;232.0;276.0;295.0;80.52;19.480000000000004;3;0.03367003367003367
