jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;9997;82.0;426.0;250.4;64.9;2503178.0;196.0;246.0;303.0;38.76;61.24;0;0.0
1;Tues;9478;3.0;388.0;210.4;85.3;1993773.0;142.0;198.0;290.0;32.56;67.44;0;0.0
2;Wed;9844;2.0;371.0;197.3;84.2;1942365.0;131.0;189.0;277.0;30.54;69.46000000000001;0;0.0
3;Thur;10313;0.0;345.0;183.3;88.9;1890231.0;112.0;175.0;269.0;28.37;71.63;1;0.009696499563657519
4;Fri;10681;1.0;363.0;181.6;94.5;1939272.0;98.0;176.0;272.0;28.11;71.89;0;0.0
5;Sat;10395;0.0;387.0;180.1;99.6;1872432.0;92.0;173.0;279.0;27.88;72.12;3;0.02886002886002886
6;Sun;10147;82.0;416.0;277.4;46.6;2814422.0;250.0;282.0;306.0;42.94;57.06;0;0.0
