jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;10041;76.0;166.0;122.1;23.8;1225917.0;99.0;125.0;144.0;51.08;48.92;0;0.0
1;Tues;9718;68.0;159.0;118.0;23.7;1146818.0;98.0;115.0;140.0;49.38;50.62;0;0.0
2;Wed;10069;80.0;163.0;118.3;22.5;1190669.0;98.0;112.0;141.0;49.48;50.52;0;0.0
3;Thur;10306;49.0;165.0;118.0;24.4;1216097.0;98.0;112.0;141.0;49.37;50.63;0;0.0
4;Fri;10847;60.0;166.0;118.4;23.3;1283952.0;98.0;113.0;140.0;49.53;50.47;0;0.0
5;Sat;10718;0.0;164.0;121.0;25.2;1296819.0;101.0;125.0;143.0;50.63;49.37;3;0.027990296697144992
6;Sun;10336;44.0;167.0;128.2;23.4;1325085.0;106.0;134.0;150.0;53.64;46.36;0;0.0
