nom;nuit_occ;jour_occ;soir_occ;sem_occ;we_occ;tx_penurie;ete_occ;autsaison_occ;zone
001-Rue Jules Ferry - Gare Saint-Roch;69.13;60.08;56.87;59.32;72.5;7.56;53.94;65.612;Centre
002-Comédie;67.37;51.13;53.78;54.28;72.55;3.43;54.91;60.620000000000005;Centre
004-Hôtel de Ville;34.97;48.09;47.9;43.86;38.56;0.64;49.15;44.76;Périphérie
005-Corum;49.84;53.8;40.93;48.55;52.34;4.18;38.56;51.088;Centre
006-Place Albert 1er - St Charles;66.57;67.26;63.27;64.61;71.71;2.49;64.59;68.504;Centre
007-Foch;79.6;54.63;65.92;62.07;81.97;19.41;68.92;69.64000000000001;Centre
008-Halles Castellane;78.21;57.62;64.59;63.47;81.51;10.62;68.38;70.904;Centre
009-Observatoire;67.36;65.06;53.35;59.41;73.87;13.38;58.98;66.09;Centre
010-Rondelet;67.29;68.71;67.87;67.88;70.24;3.47;81.94;64.006;Centre
011-Plan Cabanes;56.71;62.81;60.24;60.0;62.28;5.77;65.24;55.476;Centre
012-Boutonnet;46.66;47.74;61.9;51.25;48.45;4.02;58.76;52.878;Centre
013-Emile Combes;31.97;38.91;35.43;34.04;40.09;0.74;38.36;35.17;Centre
014-Beaux-Arts;44.38;46.82;47.13;46.18;45.16;0.45;48.49;48.129999999999995;Centre
015-Les Aubes;36.0;41.71;40.5;38.89;39.98;1.42;34.34;42.608;Centre
016-Antigone centre;53.58;58.45;55.68;53.54;65.41;3.38;55.91;57.238;Centre
017-Médiathèque Emile Zola;56.53;56.94;56.52;54.5;63.4;1.57;67.06;54.326;Centre
018-Nombre d Or;57.46;61.02;55.86;56.7;65.56;1.27;58.27;58.236000000000004;Centre
019-Louis Blanc;53.07;57.32;45.97;51.35;61.41;2.11;45.29;57.81600000000001;Centre
020-Gambetta;53.89;60.71;57.74;57.17;60.56;6.54;55.25;50.779999999999994;Centre
021-Port Marianne;29.12;49.03;38.65;40.3;32.44;0.51;46.45;38.602;Périphérie
023-Les Arceaux;71.29;71.89;71.97;71.58;75.46;4.98;80.13;64.05199999999999;Centre
024-Cité Mion;52.82;55.84;56.52;55.2;54.91;3.31;56.69;57.73;Périphérie
025-Nouveau Saint-Roch;51.62;61.24;58.8;57.09;59.33;7.84;59.44;58.303999999999995;Centre
026-Renouvier;52.19;64.52;55.87;57.24;61.62;8.35;65.3;57.718;Centre
