jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;48353;0.0;67.0;41.9;14.3;2026175.0;28.0;44.0;52.0;61.62;38.38;117;0.24197050855169275
1;Tues;46262;1.0;62.0;37.0;13.5;1710316.0;25.0;37.0;49.0;54.37;45.63;0;0.0
2;Wed;48176;1.0;58.0;34.2;13.4;1645750.0;22.0;33.0;47.0;50.24;49.76;0;0.0
3;Thur;48397;0.0;59.0;32.9;13.8;1594026.0;23.0;29.0;47.0;48.44;51.56;2;0.004132487550881253
4;Fri;52783;1.0;64.0;33.4;14.5;1760703.0;22.0;31.0;46.0;49.05;50.95;0;0.0
5;Sat;52273;0.0;67.0;34.9;14.5;1825365.0;24.0;33.0;48.0;51.35;48.65;11;0.0210433684693819
6;Sun;50458;1.0;68.0;39.1;14.0;1974894.0;27.0;39.0;50.0;57.56;42.44;0;0.0
