jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;48353;0.0;16.0;7.2;3.6;347783.0;5.0;7.0;9.0;44.95;55.05;62;0.12822368829235
1;Tues;46264;0.0;16.0;6.7;3.7;309254.0;3.0;7.0;9.0;41.78;58.22;1371;2.963427286875324
2;Wed;48176;0.0;16.0;7.6;4.1;366191.0;5.0;8.0;11.0;47.51;52.49;362;0.7514114911989372
3;Thur;48397;0.0;16.0;7.1;3.9;343867.0;4.0;7.0;9.0;44.41;55.59;343;0.7087216149761348
4;Fri;52783;0.0;16.0;6.1;3.5;319638.0;4.0;6.0;8.0;37.85;62.15;421;0.7976052895818729
5;Sat;52273;0.0;16.0;6.4;3.4;332249.0;4.0;6.0;8.0;39.73;60.27;12;0.022956401966598435
6;Sun;50458;0.0;15.0;5.5;3.4;278037.0;3.0;5.0;8.0;34.44;65.56;1769;3.505886083475366
