jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;48353;0.0;12.0;3.2;3.2;153582.0;0.0;2.0;6.0;26.47;73.53;15534;32.12623828924782
1;Tues;46224;0.0;12.0;3.3;3.4;152164.0;0.0;2.0;6.0;27.43;72.57;15493;33.51722049151956
2;Wed;48177;0.0;12.0;3.9;3.8;185939.0;0.0;3.0;7.0;32.16;67.84;15111;31.365589389127592
3;Thur;48323;0.0;12.0;3.0;3.2;146531.0;0.0;2.0;5.0;25.27;74.73;16017;33.14570701322352
4;Fri;52783;0.0;12.0;3.7;3.2;195331.0;0.0;3.0;6.0;30.84;69.16;14676;27.80440672186121
5;Sat;52273;0.0;12.0;3.5;3.3;183883.0;0.0;3.0;6.0;29.31;70.69;15204;29.085761291680218
6;Sun;50458;0.0;12.0;3.2;3.3;162618.0;0.0;2.0;5.0;26.86;73.14;13817;27.38317016132229
