jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;48353;0.0;12.0;4.1;3.0;196177.0;1.0;3.0;7.0;33.81;66.19;3867;7.997435526234153
1;Tues;46262;0.0;12.0;4.8;2.9;222019.0;2.0;5.0;7.0;39.99;60.01;2398;5.183519951580131
2;Wed;48176;0.0;12.0;5.3;3.3;253858.0;3.0;5.0;8.0;43.91;56.09;2244;4.657920956492859
3;Thur;48396;0.0;12.0;5.2;2.9;252760.0;3.0;5.0;7.0;43.52;56.48;1009;2.0848830481858003
4;Fri;52783;0.0;12.0;4.7;3.0;245524.0;2.0;4.0;6.0;38.76;61.24;3089;5.852263039236118
5;Sat;52273;0.0;12.0;5.0;3.2;261205.0;2.0;5.0;7.0;41.64;58.36;2170;4.151282688959883
6;Sun;50458;0.0;12.0;4.5;3.2;228363.0;2.0;4.0;7.0;37.72;62.28;5275;10.454239169210036
