jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;48353;0.0;16.0;9.0;4.3;434823.0;6.0;9.0;13.0;56.2;43.8;376;0.7776146257729613
1;Tues;46261;0.0;16.0;8.8;3.7;404913.0;6.0;9.0;11.0;54.7;45.3;37;0.0799809774972439
2;Wed;48176;1.0;16.0;9.1;3.4;437493.0;7.0;9.0;11.0;56.76;43.24;0;0.0
3;Thur;48397;0.0;16.0;9.2;3.7;443096.0;7.0;9.0;12.0;57.22;42.78;210;0.43391119284253155
4;Fri;52783;0.0;16.0;8.9;4.0;471373.0;6.0;9.0;12.0;55.81;44.19;47;0.08904382092719247
5;Sat;52271;0.0;16.0;8.4;4.4;439426.0;5.0;8.0;12.0;52.54;47.46;944;1.805972719098544
6;Sun;50458;0.0;16.0;9.8;4.5;495991.0;6.0;10.0;14.0;61.44;38.56;644;1.2763090094732252
