jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;48353;0.0;19.0;7.7;4.6;374249.0;4.0;8.0;12.0;38.7;61.3;2491;5.151696895745869
1;Tues;46265;0.0;20.0;9.3;4.3;431546.0;6.0;10.0;13.0;46.64;53.36;434;0.9380741381173674
2;Wed;48176;0.0;20.0;10.2;5.1;489511.0;7.0;11.0;14.0;50.8;49.2;1774;3.682331451345068
3;Thur;48024;0.0;20.0;9.7;4.6;466035.0;6.0;10.0;13.0;48.52;51.48;991;2.0635515575545558
4;Fri;52720;0.0;20.0;8.8;4.6;463420.0;5.0;9.0;12.0;43.95;56.05;1830;3.471168437025797
5;Sat;52271;0.0;20.0;8.6;4.9;447647.0;4.0;9.0;12.0;42.82;57.18;1136;2.1732892043389263
6;Sun;50458;0.0;20.0;5.5;4.5;277054.0;2.0;4.0;8.0;27.45;72.55;3306;6.551983828134291
