jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;48353;0.0;12.0;4.2;3.1;202179.0;2.0;4.0;6.0;34.84;65.16;5506;11.387090769962567
1;Tues;46261;0.0;12.0;5.4;3.3;247827.0;2.0;5.0;8.0;44.64;55.36;2794;6.039644625062148
2;Wed;48176;0.0;12.0;5.3;3.1;254313.0;3.0;5.0;7.0;43.99;56.01;1503;3.119810694121554
3;Thur;48397;0.0;12.0;5.3;3.2;256056.0;3.0;5.0;8.0;44.09;55.91;2837;5.861933590925057
4;Fri;52782;0.0;12.0;4.3;2.9;227030.0;2.0;4.0;6.0;35.84;64.16;3465;6.564737978856429
5;Sat;52272;0.0;12.0;4.1;3.0;214493.0;2.0;3.0;6.0;34.2;65.8;3078;5.8884297520661155
6;Sun;50458;0.0;12.0;3.3;2.8;166484.0;1.0;3.0;5.0;27.5;72.5;7081;14.033453565341473
