jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;48353;0.0;8.0;4.1;2.4;197183.0;2.0;4.0;6.0;50.97;49.03;3801;7.860939341922942
1;Tues;46260;0.0;8.0;3.8;2.2;178021.0;2.0;4.0;5.0;48.1;51.9;2627;5.678772157371379
2;Wed;48177;0.0;8.0;4.3;2.2;205572.0;3.0;4.0;6.0;53.34;46.66;1078;2.237582248790917
3;Thur;48397;0.0;8.0;4.4;2.2;214694.0;3.0;4.0;6.0;55.45;44.55;1392;2.876211335413352
4;Fri;52783;0.0;8.0;4.4;2.2;232198.0;3.0;4.0;6.0;54.99;45.01;2491;4.719322509141201
5;Sat;52273;0.0;8.0;4.2;2.2;217641.0;2.0;4.0;6.0;52.04;47.96;1589;3.039810227077076
6;Sun;50458;0.0;8.0;4.5;2.5;229488.0;2.0;5.0;7.0;56.85;43.15;2143;4.2470965951880775
