jour;jours;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;Mon;48316;0.0;16.0;6.9;4.4;332686.0;3.0;7.0;10.0;43.04;56.96;1653;3.4212269227585064
1;Tues;46224;0.0;16.0;7.8;4.5;359426.0;3.0;7.0;11.0;48.6;51.4;313;0.6771374177916234
2;Wed;48176;0.0;16.0;8.2;4.7;393855.0;4.0;9.0;12.0;51.1;48.9;722;1.498671537695118
3;Thur;48218;0.0;16.0;8.8;3.9;423210.0;6.0;9.0;12.0;54.86;45.14;151;0.3131610601849931
4;Fri;52679;0.0;16.0;7.3;3.8;384978.0;4.0;7.0;10.0;45.67;54.33;227;0.4309117485145884
5;Sat;52273;0.0;16.0;7.6;4.1;399692.0;4.0;7.0;11.0;47.79;52.21;845;1.6165133051479732
6;Sun;50109;0.0;16.0;6.2;5.0;309363.0;2.0;5.0;10.0;38.59;61.41;3397;6.779221297571294
